ID,Class,Question
336,Grocery and Gourmet Food,spoiling? Does anyone know how long an opened container of Tart Is Smart will last before spoiling in the refrigerator? thanks.
337,Home and Kitchen,Is this made to convert a Full size bed with wooden side rails to a queen size bed?
338,Tools and Home Improvement,Seat flat or angled?
339,Electronics,Will this case fit the underneath seat storage?
340,Office Products,"Does the Matte Black bullet pen have the ""grip lines"" engraved into it like the chrome one does?"
341,Video Games,"Character would not respond to square, circle and triangle buttons on fully charged ps3 only x button worked. Anyone else with same problem?"
342,Home and Kitchen,Can you stack these? Are the sides sturdy enough?
343,Musical Instruments,are keyboard benches the same as piano benches or are they too light to be used at the piano?
344,Automotive,I have a 2009 Murano LE- would these work for that vehicle?
345,Pet Supplies,Is the coating on this cage tough and durable?
346,Tools and Home Improvement,What kind of light bulb does this lamp use? I want to know which light bulbs will fit in the socket.
347,Grocery and Gourmet Food,how do you compare the prickly pear syrup with the prickly pear puree for making the prickly pear margarita?
348,Tools and Home Improvement,Does it say on the wrenches where they're made? I only buy US-made tools. Thanks.
349,Sports and Outdoors,Is this 3 pin light.
350,Home and Kitchen,Can it be programmed to start later?
351,Sports and Outdoors,Can this be used in a stove?
352,Pet Supplies,Do the boxes have an expiration date?
353,Office Products,Does this item work in 220 voltage or 110 v?
354,Grocery and Gourmet Food,Is there any calories in this coffee?
355,Tools and Home Improvement,How does this item hold up over time given that cars roll over it every time the garage is used?
356,Sports and Outdoors,How deep is the sink? It loos like from the dimensions that it is 4 inches. Can anyone verify?
357,Patio Lawn and Garden,Is this suitable to use under a fire pit on a wood deck?
358,Tools and Home Improvement,is this an original Moen cartridge or a knock off
359,Sports and Outdoors,Where is this product made?
360,Automotive,Does this fit either side? Do you use your old plug and blub since this is just lens and cover?
361,Sports and Outdoors,Is there a slide lock?
362,Sports and Outdoors,"What's the belt clip size? Is it at least 1.5""?"
363,Automotive,"Can this be adapted for a 110v outlet? If so, how?"
364,Pet Supplies,I have a 13 lbs yorkie. Do you think she would fit? Nothing ever seems to fit for her :(
365,Video Games,Are new cables supposed to come in a box or just in a plastic bag? I just got them in a plastic bag and wanted to make sure they aren't used.
366,Tools and Home Improvement,Self defense
367,Electronics,does the headphones fall out easy when running or workout
368,Tools and Home Improvement,Is this similar to a chain saw?
369,Home and Kitchen,I will be making about 1/3 lb hamburger patties and freezer them separately. Is this a good back size (considering the waste) to use?
370,Patio Lawn and Garden,What are the O-rings Made of?
371,Electronics,"I have a NIKON D3 body and I order the new Sigma 35mm 1.4 ""Art"". Is it really necessary to buy this device?"
372,Sports and Outdoors,Does this sight come in its original plastic carrying case?
373,Musical Instruments,Will It hold 5 acoustic guitars?
374,Home and Kitchen,"Can someone please tell me how long the slots are for bread? Not width, but length. Thank you!"
375,Home and Kitchen,what are these made of?
376,Home and Kitchen,Will this fit my TV that is 50 inches straight across? I don't want any to hang over the sides.
377,Home and Kitchen,Can this be used to transfer ketchup or mustard from bottle to bottle without falling over?
378,Electronics,"MSI GX630 screen went blank as it booted Hello everyone as I was booting the MSI GX630 up as soon as it got to the Vista log on, the screen went blank. I tried to reboot by pressing the power key which it did. No windows loading screen at all just a blank screen. A minute later I hear the windows log on prompt. Could the video card be defective/damaged or is there some other reason?"
379,Sports and Outdoors,Are these dies made out of carbide or steel?
380,Automotive,are they really made of stainless steel or are they plastic made to look like stainless steel?
381,Electronics,"When the cover is folded double, like a magazine, is it held flat magnetically, or does it flap free unless held?"
382,Electronics,Use with Mac If someone could help please. Does this camera work easily with a Mac? It says it does not autostart - is that problem? Thanks - I am looking for a 10 year old and it needs to be easy.
383,Home and Kitchen,Is it metal where the cable attaches to mechanism? I already ordered two which both broke because it is all plastic
384,Home and Kitchen,"Is this ""hand blender"" an immersion blender?"
385,Pet Supplies,"What is the height of the lower mattress to the oblong facing? Does a dog have to ""duck under"" to get to the lower bunk? Could a German Shepherd get in and out of that space?"
386,Electronics,Will this play a movie from an ext USB hard drive via USB cable? The movies I have are on there. My DVR only works with thumbdrives
387,Home and Kitchen,is the glass shelf one piece or three?
388,Tools and Home Improvement,Do these fold up for easier portability?
389,Electronics,Does this work with windows 7 64 bit? I see a lot of customer reviews with issues on this.
390,Automotive,I have a gas golf cart. Could these be used for my golf cart or can you recommend something else. It is really dark where I live.
391,Electronics,Is this camera good for fast moving sports. Thanks for all of the answers.
392,Pet Supplies,How many pounds on the dog
393,Electronics,what memory card does this camera use
394,Home and Kitchen,"Hi, I am looking to buy two of these chairs. My question is: are they white-white or off-white? I mean, snow-white or slightly yellowish? Sonia"
395,Home and Kitchen,Are the lids glass see-through lids?
396,Electronics,Does it come with a activation button or switch?
397,Home and Kitchen,"Is there a power on and off button, if so where is it located. Sorry can't tell by the photo."
398,Sports and Outdoors,What's the difference between this and http://www.amazon.com/gp/product/B0014VQ0RG/ref=ox_sc_act_title_2?ie=UTF8&psc=1&smid=A364EMG98WC7R6
399,Patio Lawn and Garden,How does the cover open? Is it hinged so that it doesn't have to be removed to access the cooking area? I don't want to have to place cover on the ground.
400,Sports and Outdoors,Will this pad fit properly with safety net support poles?
401,Electronics,Is this case good for SLI support? I'm thinking 2 GTX 680 classifieds with Asus Sabretooth Z77...
402,Home and Kitchen,"Are the peppers shown on the front of the canisters also on the back, or are they plain on the back?"
403,Tools and Home Improvement,"Does this kit include the top, sides AND bottom? this kit's description only mentions the top and side panels."
404,Home and Kitchen,"What color is this item? Is it black, stainless steel colored as shown in main description or brown tone as shown in in photo??"
405,Sports and Outdoors,"?question guys, i have about 33-35 waist, from what i read on the reviews i should be a small. is small tight fit or would medium be a better breathable fit considering legging or boxers underneath?thanks"
406,Home and Kitchen,"Can you easily pour from this, or do you have to drink from it? I need to send milk in it to daycare."
